type,clientName,clientNameEn,code,description,exchange,full_name,name,securityName,stockNo,createdAt,updatedAt,marketCapPrev,sharesOutstanding,sort,symbol_ref,lastDateSyncIDS
s,Công ty Cổ phần Nước sạch Bắc Giang,Bac Giang Clean Water Joint Stock Company,BGW,,UPCOM,BGW,BGW,,upcom:76641,2022-05-05T06:56:56.327Z,2023-10-04T01:30:27.417Z,308540582000.0,18149446.0,,,
s,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Vung Ang Petroleum Joint Stock Company,POV,,UPCOM,POV,POV,,upcom:62812,2022-05-05T06:56:56.331Z,2023-10-04T01:30:27.467Z,104996740800.0,12499612.0,,,
s,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",Hai Duong Mineral Eineal Processing Joint Stock Company,KHD,,UPCOM,KHD,KHD,,upcom:75425,2022-05-05T06:56:56.284Z,2023-10-04T01:30:27.817Z,22513444200.0,3262818.0,,,
s,Công ty Cổ phần Cấp nước Phú Hòa Tân,Phu Hoa Tan Water Supply Joint Stock Company,PJS,,UPCOM,PJS,PJS,,upcom:67676,2022-05-05T06:56:56.261Z,2023-10-04T01:30:28.132Z,213300000000.0,9000000.0,,,
s,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,PetroVietnam Marine Shipyard Joint Stock Company,PVY,,UPCOM,PVY,PVY,,upcom:76825,2022-05-05T06:56:56.269Z,2023-10-04T01:30:28.214Z,160622424900.0,59489787.0,,,
s,Công ty Cổ phần Đầu tư và Xây dựng Điện MÊ CA VNECO,Meca Vneco Investment And Electricity Construction Joint Stock Company,VES,,UPCOM,VES,VES,,upcom:73202,2022-05-05T06:56:56.312Z,2023-10-04T01:30:28.446Z,22518750000.0,9007500.0,,,
s,Công ty Cổ phần Bất động sản dầu khí,Petrowaco Property Joint Stock Company,PWA,,UPCOM,PWA,PWA,,upcom:78420,2022-05-05T06:56:56.312Z,2023-10-04T01:30:28.505Z,42470000000.0,10000000.0,,,
s,Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Giao thông Vận tải,Transport Investment And Construction Consultant Joint Stock Company,TVG,,UPCOM,TVG,TVG,,upcom:54565,2022-05-05T06:56:56.324Z,2023-10-04T01:30:28.625Z,8321314900.0,2029589.0,,,
s,Công ty Cổ phần Công nghiệp Ô tô Vinacomin,Vinacomin Motor Industry Joint Stock Company,VMA,,UPCOM,VMA,VMA,,upcom:73659,2022-05-05T06:56:56.332Z,2023-10-04T01:30:29.437Z,12420000000.0,2700000.0,,,
s,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế,International Shipping and Labour Cooperation Joint Stock Company,ISG,,UPCOM,ISG,ISG,,upcom:73722,2022-05-05T06:56:56.309Z,2023-10-04T01:30:29.809Z,20240000000.0,8800000.0,,,
b,,,LPB122011,,HNX,LPB122011,LPB122011,,hnx:81062,2022-06-01T01:15:00.600Z,2022-06-01T01:15:00.600Z,,,,,
b,,,VND122013,,HNX,VND122013,VND122013,,hnx:81122,2022-06-29T01:15:00.406Z,2022-06-29T01:15:00.406Z,,,,,
